"Taxa","weight","B11","Na23","Mg25","Al27","P31","S34","K39","Ca43","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","As75","Se82","Rb85","Sr88","Mo98","Cd111"
"4722",1.17388178710906,2.59109902580876,2.79680199453891,3.35667132035524,1.69094616876026,1.10785720580377,4.32750216315991,2.24803825093063,3.72866386899218,4.30426712030069,1.85846723418519,4.10206742024467,5.61785279863,0.51029678693553,3.10304375165297,4.90899514969237,4.08514195361673,3.04636937987586,3.65508940792441,2.4336452439123,3.78307750815577
"33-16",3.55016534068691,1.49781106288397,3.05491387058228,1.59874068383986,2.77902920948649,3.08927348311344,4.55982313901982,2.1704674161098,4.13514272981476,1.3575470424043,1.10142725308895,6.29967798933185,2.7015500482436,3.43058529139896,1.33099331287697,1.90725698916582,0.334086273156137,3.40959902611021,3.48822593391075,1.30872071746283,3.76535475103771
"A188",2.80968914652416,2.28788017071756,2.67646758731289,3.58450466249732,2.83511622174267,2.88788894153392,4.31562545957927,3.0964108908862,4.35416236383923,3.9798401247968,3.43168782588442,7.82067802918759,3.9931601063172,4.53838117563647,3.63509227649937,3.45273839598361,1.98218853999631,2.73754105559892,3.75725506416153,2.48241247579731,3.18819362763482
"A272",1.29495770625502,3.7351646803257,3.96879198557178,3.87808739113814,2.92745058682253,4.73869080069,6.00701798337592,3.28633951171696,4.03934699102157,0.979582254133209,3.60421655967058,5.59251272959698,5.49251799336333,4.03441635827017,3.56361318668409,4.56694543242759,3.99380258709159,2.42826563788193,3.8461721758949,3.8465126147555,4.87789602833438
"A441-5",4.67629061354168,2.56111288158243,0.962196480083297,3.94567656503731,1.02851920511154,3.07985339950054,3.20320954149239,0.868985218019161,3.11439369790861,2.611473247776,2.37238035550442,6.9361182537817,2.18081514537723,1.42463368042394,1.799684402987,2.10596603656851,2.17611189877644,2.35751243980586,2.7127279754895,4.18861191530909,0.001
"A554",0.521826075425751,4.3265493329225,2.53587767752268,6.29111340389304,3.86690300693159,6.26611393462873,6.83346174776097,4.72705608283023,5.7944800278147,4.64204318348189,3.90582430958776,6.78022718050801,4.99810057863737,4.59554792637579,4.52189758425976,5.53131345549362,5.23269556217431,3.09823679432313,5.74326419640629,4.26656045519406,4.14784605865672
"A556",0.540558879513621,2.11783469369008,2.99062556848318,2.16872903276937,2.41064168045294,1.99199465018308,3.57708619067788,2.62330141483493,4.70921445279977,2.24211019801931,2.36603701436864,7.86386462512841,4.96899015655184,2.72310950628001,2.39127358234952,4.85989961059173,4.92755958594241,2.28175643945955,5.37572822705475,3.4563054830816,4.15116118298287
"A6",3.49892613092913,1.7345875386299,1.99222912643272,1.63418867295639,1.82708254941002,2.06304146811553,2.6920690765263,2.52863834410923,0.001,2.06481234095224,0.402940586644548,4.35147431746134,2.10468052345729,2.35606350597112,0.701537507038402,2.86670812127577,1.13306128319501,1.9389921091238,0.001,2.51334781066044,2.46285464998335
"A632",1.67455926397908,2.95547690389781,1.83172301392829,2.32236137545207,3.16730924346244,3.11763367533662,4.85267647841076,2.18506752935774,4.60564651282323,3.67606920634347,0.84676527119652,6.57869349164126,3.19071228046288,1.55793896807582,1.49501401113587,4.34188722798997,3.01655112699354,4.00231981952235,3.68983441677474,2.64966144563769,4.79310498216664
"A634",1.56302132861657,3.27149320569364,3.37843678428911,4.28298127315875,1.76789855515172,5.08095719078248,4.28818704888601,3.49836647771379,4.35708362968276,3.6246905724129,2.58766899615104,5.61869726578178,5.04887089831397,4.0695642157743,2.62696833437297,4.61762215902117,3.86397704029057,3.94484443303956,4.51524079886813,3.36752049222294,5.28863511568534
"A641",1.10693157281323,2.79257611720583,2.23811065205144,3.65572015836239,2.34749473680311,3.74452258471257,4.52617599999387,3.96381411703051,3.71039525726601,2.83570408913802,2.07296854648457,4.87741391142773,5.24944862853573,3.36316945967048,1.94269998040989,4.68501001541396,3.73269917365899,3.26598806826772,3.9422894329102,3.75645390024438,3.70255824195262
"A654",0.512850879747935,3.48536119938751,3.76424038834388,3.8753022010815,3.80675709360942,3.52570931221356,4.18701254986822,3.68344492490777,3.33837060169574,3.17879865489511,5.0522502948635,9.19164685958989,5.80301547605724,3.39134174178185,2.84327508639566,5.18999759180702,4.81290227457265,4.62585464249448,3.9194396070201,2.92366163968701,4.34830737141486
"A659",2.69787275851008,0.910148669905056,2.1899936277167,3.36638744060434,1.36081981591761,3.72929382903982,3.38600970106594,2.75897106851533,3.94483740690601,5.13545935578344,1.04190486881962,6.59670263672469,3.79518564534497,1.78136370608939,0.735854130026997,2.40000273769085,1.65350356591338,3.14472911631592,4.30510988169819,3.26189969422315,2.28605402768612
"A679",4.20042679760831,0.559115918844294,1.62145122924307,2.72560806599567,1.13439666453592,2.57315130367031,4.49994791201118,1.6426560274964,1.92925265265698,2.93547671862004,1.36358689780026,5.22216621325895,2.11205621825901,1.46280254030322,1.50719417721698,1.84646577821569,0.273200255924092,2.28737554118972,2.1210450042781,3.65761770394489,2.40318316710045
"A680",2.66316618470591,2.37626037145735,1.34099412698868,2.30604124957015,0.001,2.53539151874177,4.90535895301013,3.49705111486973,3.18571856232589,2.99950889238881,0.541677961819717,5.35544707162966,4.53090225756642,1.76137574297724,1.45942857469089,2.92088037015252,2.8547260698266,4.06290184920383,3.04240379520425,2.19982640232979,1.91743546521809
"AB28A",2.51180559830013,1.61796666592433,3.17029951450495,1.97654546665076,1.4408057618299,1.73812858898596,3.02717414143738,1.21671182188708,3.9561925632968,2.65745604090575,0.89518385957156,3.64843519750127,3.2110370847565,3.22313532727823,2.3878062726141,3.24927959118039,2.73087675783132,2.14743506382498,3.52278991520887,0.879871983106693,2.34713580151384
"B10",3.22954672174219,0.763655109389131,1.42203159748403,3.73927250402685,0.634473819121949,2.67433196332952,4.0879703541627,2.00761214212092,3.48049397626697,2.86641535433555,1.26107414234236,7.33925266361766,3.7684338582689,3.25177422350797,1.23943314733117,3.80820206601404,2.1440927852122,3.16910299707399,3.41611822759687,1.72694763036926,4.60011248824774
"B104",3.46102127350021,1.6439846725371,1.10447052899376,2.59856871766364,1.76288869625193,1.7718454010182,2.02869091422299,2.11986820445624,3.10111872884118,1.91014901536153,1.27531405202633,6.23440225028865,3.29908840685359,2.20261571805779,1.79923811835154,2.54245756092265,2.48851221508092,3.25825220797833,2.40447450897737,2.44498593747622,3.91796882665601
"B105",1.15726875285464,2.89117278043786,2.36036913330675,4.49173375229069,2.02435177776667,3.49202107389025,5.3813265518871,4.14955051512764,5.02448679913753,4.57925355793455,1.70466191105098,5.57044115193548,5.49559566458911,2.5306998535262,3.03521634328936,5.26754787737891,3.47377373366634,4.72269354583105,5.0356673959164,3.80111157570907,3.51877656298664
"B109",2.2375160099615,2.18204437061085,3.18240637499051,1.87048698671694,2.20744259754772,2.43989055112084,5.00051954374803,4.01408641743127,3.1666541870461,1.79314606951099,1.57989647085343,5.89343900922363,3.81447975479376,2.23035430242547,1.71233472437421,3.57751039651164,2.71984373611233,3.78494805715042,3.02299905891473,2.64603240715029,3.40947099331964
"B115",3.10570784635632,0.95215533642623,1.02290826845608,4.05854256086668,1.64345438674073,3.3708914503218,5.16425121063283,1.66483663128433,1.55859323249988,3.15084256037242,1.67173238241,6.9285533803703,4.07351591513986,1.90422169946671,3.10031029370482,3.08135833838178,3.06260238938283,2.79348086139003,1.65190985382234,2.39130625996754,4.45605494854608
"B14A",1.61989430223329,3.5355029858022,2.06074656164438,3.62370850537479,1.54410336040158,3.86290542630866,5.2919338857723,3.06005047313571,4.30120853059455,4.16535635437424,1.79191574772847,5.84155918679108,4.29702261943615,2.77302115886422,1.04495712596197,4.37495088564848,3.6045709497915,3.34181683456694,3.96581713996541,3.2418575673694,3.6079700553292
"B37",2.33438615776227,1.99335640800776,2.17205296041012,4.09130178047308,1.59077384606574,1.99485859212965,3.88411325421571,1.48555678550342,3.89145591134876,4.35990851694605,1.79365387331486,3.55258031663443,3.37557478612072,2.07374011316456,1.13424772013176,3.58608161686562,1.43249824349836,0.001,3.46852996205379,3.3175932471212,4.00804874697
"B46",2.96924447680969,1.76299727254119,2.96961357520784,2.20827334243944,1.61809431624506,2.90916855240795,2.65457437653699,1.99277169153062,4.07982866466467,2.02679803762414,2.32020211821159,6.68806960715158,4.03619444050985,2.43786466313116,2.02319536802089,3.42726334472428,2.25538639125761,3.30266153988633,3.94532813878018,3.15863193269361,3.11988344804318
"B52",2.02767252298871,2.34629488859168,2.23670355969229,2.41067132029619,3.1888411719919,2.3994323139537,5.01711309342365,2.83699289384583,2.58169790784651,2.48628101432704,3.83080117355154,6.54696572821241,4.46318396854993,2.7265027638474,3.24108727194925,4.1781504451931,2.94370749190477,2.51907324588507,2.25603249881724,4.82994625677118,3.67881272772743
"B57",2.56854522839356,2.99431209745147,3.80569637664567,3.00824311209475,2.67401207294702,2.86754823433683,4.11459546707696,4.01348450951016,3.65765461523867,3.00433069280588,2.85715168139334,7.11293505750771,3.75943656088579,3.55870726885775,2.25958481539241,3.70066492764764,2.31431248313343,3.85392238525915,3.45902028669061,3.5102876831545,2.85865386913765
"B64",3.00407655040048,3.66215195303862,2.03092896618515,3.00363601538174,0.116205508886414,3.64853126012863,4.85175061454654,1.03638874539974,3.52681915284894,3.56344183232812,0.711981117335595,3.30006083895006,3.57367392593276,2.49293906935327,2.71117506250912,3.04438793900412,2.65538244639741,1.80476576225258,3.83559356167292,1.97313451391212,2.3805761112906
