"Taxa","weight","B11","Na23","Mg25","Al27","P31","S34","K39","Ca43","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","As75","Se82","Rb85","Sr88","Mo98","Cd111"
"4226",0.791660222166267,3.09737500122774,2.95180887027813,3.17757080805203,3.13760777771625,3.68207693103445,5.50331178966661,4.46251561991387,2.99142194422158,3.99483268262851,3.12155007673988,4.41663656827418,3.19233296702954,4.80359679793236,4.01076518050994,6.24029414987258,4.80222128054185,1.92262811152057,3.41751550142027,3.30183965054615,4.17870693609584
"4722",0.309787149920998,2.05977662520616,2.60341684680601,2.99108204647512,4.210397839487,3.75756439417469,4.32291831241635,3.00214611440214,3.67972981686772,5.40160986302007,3.17872185652839,3.35161389547166,3.21853410384888,2.40772990379956,4.00457243092253,3.83450844094507,4.68039442846164,4.75826169835122,3.76268153048256,2.9431392601165,4.34770514351494
"33-16",2.27226636210599,2.90448092578837,3.16250640900826,2.36543428018515,2.93502682971201,2.16864416519636,2.62324785405987,3.27789944872988,3.50976088405415,1.85005044003201,2.87344020039553,3.50062715645545,3.66850337696228,4.0435710671837,2.72810852754463,4.14320436248194,3.6924882233351,4.23892965887313,3.91688060117163,3.2970806182481,2.98624488147037
"A188",3.35505178973417,1.70406639109533,0.667343159274932,2.59116260053261,1.19334632866213,3.06127218286099,2.41346693246443,3.94409854386538,2.19863392986398,3.87267597753971,2.14762478954757,2.7688482950575,2.15192979898445,4.75255764307232,3.66911765697749,1.84811669244574,3.29990815437795,0.001,2.3730363490795,2.68530628570404,1.9574126152016
"A214N",2.62153121351401,3.93731462976506,2.10513762562993,2.49312169762399,1.63203952623153,3.08426940473181,3.61306713865614,3.9721100575212,1.48559695449466,2.57248951445287,1.99430838812461,1.18843327433232,1.31146755131256,3.48119557482665,2.50122909144062,3.97110138018588,3.44765600313365,4.20280547301126,2.22626735287349,1.68676443396942,3.05834686936858
"A554",2.42151677640131,3.63934435908796,3.03937920843637,3.52403392208299,2.68616801814998,3.88526052713184,3.67431526255253,3.60471824775546,1.71724528366838,2.13574287229747,5.77569359486806,3.16468615755514,2.42002946197714,3.43411565450264,4.01706525510803,4.49967097208274,3.68967428165009,1.36873088093413,2.58133265333873,3.97091350315809,3.40888633057658
"A556",3.62310842535511,3.06333582110959,0.90159994012489,1.85074381790093,2.09239445618008,2.72280151848506,1.74244902549586,2.5737158598618,1.40212980597148,2.11538591305011,3.18328914670751,2.02966662717265,0.543636880847343,3.66875397191588,2.6460720097885,2.57670676124613,2.93231543213298,4.08813277822785,2.72731313915133,3.90122041074108,4.33973222767006
"A619",2.98335770156971,2.25402760097848,1.16628031153458,1.90917653243661,1.78564792266201,0.001,1.27041061114095,1.45679595372947,2.06830122491397,1.92679075327332,2.90693925871346,3.32792953105232,1.94055068019223,3.34227163296107,2.46807436454592,3.6918351165329,3.09851389250759,2.98153504842256,2.82015207225272,3.48789558911649,2.85191626538837
"A632",2.32949686265679,2.85283094248027,1.8921911950269,2.85785951143263,2.54362925344258,3.25564659770513,4.14360505783385,2.68261629058929,2.07882457349559,2.69328113253577,1.75096541625072,1.82628785127776,2.08879717427502,1.57927515175617,2.22228959195421,3.98430638613659,3.61249837976745,1.87201743917927,4.02632549268498,2.38114517243335,2.64147302121282
"A634",4.12939373485907,4.01839010643346,2.11008271178576,3.48988174005334,1.33037794101386,2.89229460203451,3.66972918582148,2.20308974034438,2.5999357704099,2.88499853129389,2.91645843171193,0.001,2.66195100937814,3.26331568823334,2.38622372833743,2.58684703664655,4.08780190662006,2.94596613916907,3.43292592062228,2.3039198105602,2.9557793138804
"A635",1.83792999911171,2.74503105002613,1.75289313924161,2.9729725740593,1.93038624268926,2.58117958056613,3.25763208058048,2.93425587961401,1.8346812676672,3.239128850644,1.37991383282009,2.2853868697205,2.5226879811779,2.58732358352275,2.06493603677115,2.67858097547442,3.47183451619829,2.72772852997025,3.02045299388346,1.91900526858247,2.02857856423223
"A641",1.77560769049838,2.62550058844617,2.34571779713864,3.05187811807571,3.47020173731423,2.73296497982552,2.48781049564403,2.8643436234317,1.59163640523327,2.25387743943532,3.53181913835834,3.60931733896026,2.4225093540573,2.90513528229321,2.42133501553791,4.5318638078618,3.44888995224419,2.85845435238994,2.70561536929549,2.51904288543315,3.66684207260893
"A654",1.99185745044817,2.45322605466424,2.00947264614073,2.65297399582838,2.83207486443573,4.00301198205474,4.21157832218163,4.363330343404,2.25035986801181,3.28002874044437,2.80516359207064,4.30355654625615,2.68341309708836,3.83097452107343,5.56373729187879,2.89721233424483,4.62596620547831,3.46157412873991,1.81243418249314,2.09878139358622,2.66638228407176
"A659",2.58133792644166,1.68783495318595,1.97294252248373,2.12843790967283,3.11497931449881,1.74194458815935,2.59793575862241,3.72123374308575,3.09795560303757,4.02742869330512,2.50729695844446,3.39397612149466,2.75312048597305,2.16891322748465,2.14047602416715,4.21358384371899,3.4321333831511,2.75146986418176,2.54167210927764,3.02676558430276,2.90899501775338
"A661",1.31977828819592,2.16299684440112,2.84844077215742,2.42122480638701,3.03863682878544,0.922328456285207,1.88329609938515,1.58276372290758,1.81880097695993,0.760341026630169,1.98126952981849,3.49368132366285,3.6114313337745,4.02543208244221,1.81948263493367,5.34852061293589,2.97293915807215,3.92056222306899,2.44329746000356,3.58736946538408,5.27176026142711
"A679",1.24936991976568,3.65045020681395,2.12675208397154,1.16000659177292,2.17264377118255,2.28510392346617,2.92811674706627,3.5468738583703,2.81760355488612,1.55017573452487,2.1883174524554,2.88457406366581,2.03444657947732,2.61521525348918,1.87639155900807,2.55346968297771,4.06961086424615,2.04434769984742,3.12573384629056,4.41880326967448,2.91018943470668
"A680",3.23282864523237,2.13055396875383,2.65173544453333,1.50098665982089,2.54094848100692,0.863220799347112,1.83426316057994,1.0420589432762,0.789695191883068,1.02838162136127,1.39490826013401,1.27270007363571,2.5532023469316,2.77531789087021,1.37739040342039,3.31946683580916,3.23019158264649,4.40883529509035,3.11612488920199,2.72034620424743,1.7191209959988
"A682",4.17053506998031,3.17415156164566,0.110124698027273,1.53839137866123,1.17669594616803,2.25265317246295,0.001,1.57722685909048,1.27113483202742,0.896549120934738,2.83694658005217,6.75650012867743,1.8081684887723,3.88448922175556,1.98242188473262,4.79629049359501,4.32288120034823,2.81200808646093,2.16962572638874,3.10301692753269,4.96818738303233
"B103",3.63742790109342,3.77347796493185,2.89765621664711,1.5179101167642,2.61631505609274,2.16752256814022,2.06779082283662,3.19185768244242,1.28303512903965,1.34233446553604,3.19249299985285,1.39114445371805,2.58273639484275,2.60118590469564,3.09783143324192,3.36798729995225,5.09261650091117,2.69816775527992,2.74510300530767,2.42594598519971,1.87957036147769
"B104",3.56681412225259,1.04240534209133,1.56828151443525,1.22381926161239,1.74281703842869,0.533636136852854,1.27560446577777,0.001,1.79232241186959,2.85830653465889,1.64150075671562,1.24574193126931,2.85203006128744,1.88962693605465,0.395963522041571,2.3586509483022,2.58582286196651,3.21126143604949,2.20680617732695,2.07667582656498,2.2403672834413
"B105",3.11028158431387,2.62504123380109,2.44509992208234,2.656956150164,2.55999587030566,1.51057626422835,2.97089693317544,1.77852358297989,3.41928323270776,2.96656014366619,2.51136889738374,1.44571647084001,2.42270258179171,0.902861408371949,2.87415381265975,3.43081890104783,3.74703314420977,3.25703108297431,4.01844719143161,3.34136641752476,2.2384242199872
"B109",2.1515561442822,2.95686241560056,2.75231732334982,1.4765406569633,2.22286220441021,1.96246238157105,4.39334011444063,3.47150151884081,1.20519942572366,1.0374868147302,3.03339317374427,1.92599850320343,2.96920727498844,2.06330697740847,2.54727790299303,2.27367844813963,4.39219471619508,2.6876900766522,2.17346163724882,2.29564729716726,2.27356777185412
"B115",3.09157738634949,2.02589216880271,1.76204130291789,3.55692527209439,2.62696795133283,3.1670710694759,2.65577676691383,1.7070561243039,1.6953173541231,1.64568507576687,1.74375884697998,1.68397800091185,1.99467779830331,1.91633501159824,3.04608351127301,2.99712473187573,5.87569627479884,3.15818439289508,3.47769760893162,2.04767597445738,3.41753200546102
"B14A",1.50586036919027,0.873290454043926,2.35083285422612,2.68596962278139,2.79726076714583,3.18551312532883,4.33145745545216,2.90049349006331,1.42299215390497,2.77680498333006,2.40054951103956,2.99580796773313,2.67616812431609,2.70446139671301,1.16603891911192,5.17465829597854,3.56155704232412,2.76882220440468,1.93246239587097,1.23638482779036,3.19680895723601
"B164",1.31272718083236,2.96274618109594,4.10149520063124,1.07998861289535,4.14043784540185,2.80592900249854,1.07498322302102,1.41022128704362,2.99775286490565,2.32295998715865,1.97041488792583,3.11630053153254,2.63384570823964,2.65017414079289,2.09495866499268,4.67226060227379,4.14764939298245,3.19745188133371,3.61851003705221,4.21592214028016,3.29123966821928
"B2",1.46492839467983,2.78734771026583,2.63277413554469,3.60627670921473,4.37381723482683,3.2467498917659,2.16407236726092,2.72311383194794,3.01392386714378,3.60890578620719,5.65751022247765,2.15499599247802,0.796337278675872,4.57192022404947,4.15717291231817,2.12665284229747,4.08691655987756,2.25840950551213,2.31366505650498,1.57248952621783,1.15184337393083
"B37",2.1395001332606,2.85216752571197,1.36432887847488,2.98052561609172,2.07393485714329,1.67427413651123,2.92672080447603,1.39673721225594,2.69080331127317,2.90338853103447,2.81726937868115,1.97317998434304,3.62461542972047,4.16051430382764,2.58166912159921,3.07009148968972,4.67198019049931,2.03607585780446,3.75754606165121,3.12877348807854,5.4886106884673
"B46",2.12980634196079,2.35400657345339,2.53318980240248,2.97256926886104,1.18170093691298,3.55312878684739,2.4989438918949,0.774802899348474,2.46926189913832,1.91930170659526,2.65694170422566,2.23482168708748,3.69994753719736,3.30808164423143,2.45060165605582,4.49390888456095,4.01111313802817,3.94660641852316,3.02661200408724,3.11039034770157,2.84935273915131
"B52",1.80722509292857,3.287782962164,2.8694566834094,3.31559310791507,1.29488044931935,1.81483367423984,3.60258477499951,2.68665964689358,0.948186137431347,1.9046721935458,3.17417337583747,1.88668932881712,3.73181696375503,2.37862944154171,4.8172963113706,3.33238527894063,3.73675700998,2.65872916653808,2.14300938642652,2.9766231338813,3.70867428733812
"B57",2.95224592476559,2.83063522040387,2.74070459992367,4.95428173378194,2.51332439547891,2.14592989647948,3.03383229646544,2.79848418486049,3.04076682742442,3.71207082543054,3.79961414257716,2.34309017372349,2.8790070350261,3.46491870897784,2.56154718229742,3.59539620578501,2.35638153661261,3.17759786068169,4.34810388329342,4.05832770398503,1.87132988748686
"B64",1.40536727600887,3.34822945898599,2.1972971210445,2.39072362291094,2.75223621865599,2.68529337780409,4.05895822495024,3.09354311249724,1.95799777711185,1.74910814111604,2.69009913710197,2.23407382582573,3.37594850215551,3.5437824480655,2.74483213982501,4.0692179234848,4.64009632747717,4.06027317678011,3.52535560642579,1.93625174341664,4.0225182836108
"B68",1.75112434963603,3.99223807477451,3.584002288261,2.50631604475142,3.85520317282405,3.4411989170598,4.36375308813747,3.6675746310414,1.15930553322716,3.08953866231125,1.7892412627888,2.42873843494531,2.65378207056966,3.24052853774158,2.34912812783464,3.62507727491592,5.0575740418677,4.32099567898696,2.51280545939882,2.47490018765878,3.03977527668477
"B73",2.56207230627332,2.68742659367044,2.25253316709999,1.51945223379827,2.69413858969822,1.81744761392695,2.59642145190121,2.85322544915401,1.64379276864791,1.73039453677468,2.69113572412098,2.48168312761977,2.26980715939489,2.84955482420061,2.79297830693846,3.41094006969015,4.4836404617228,3.50483860029592,2.84720478251486,2.45287813609059,2.34736193995395
"B73HTRHM",2.00003041466957,2.40160992864716,1.92016027410935,1.45766675898886,1.85784116387916,1.59009031486593,2.27616437438111,2.45534179190605,1.00276043414899,1.41314430902663,2.63303560385347,2.29805110463761,2.45904167608815,2.64198895748599,2.29509268134782,4.44517541883005,4.32708465758117,3.8527454943674,2.2968005975165,2.09137460986909,1.97980318209954
"B75",3.46158868922719,2.74855447019753,1.61017808402635,3.14868638929812,2.62219927785559,1.22408588867478,3.74994085467107,1.75755024009757,1.17379571797148,1.65711684109679,2.6096339903458,2.87435921801062,2.35743807627444,1.59933785325587,2.80145120194184,3.48334570615315,3.64535144120698,2.60635231295238,1.94609787196664,3.25831034733016,5.27141538552553
"B76",2.77732710954681,2.96543683217816,2.39317538390772,2.51343023406035,1.48762874959704,2.75734847732085,2.54300667016919,2.54685559584701,1.0292257824465,1.77385632438705,3.21743632684373,2.50964235329486,3.45858900055488,3.92605807395266,2.31532513157976,3.45769626841034,2.93483508629329,1.98242502969151,2.04043512780166,3.0082734623158,5.51067209774066
